Date,Open,High,Low,Volume,Adj Close
"Jul 18, 2016",27920.66,28013.5,27697.69,2113000,27746.66
"Jul 15, 2016",27966.14,28048.7,27735.87,1678000,27836.5
"Jul 14, 2016",27857.8,27967.77,27763.15,1077000,27942.11
"Jul 13, 2016",27912.14,27928.76,27752.14,1812000,27815.18
"Jul 12, 2016",27667.81,27828.74,27667.81,1260000,27808.14
"Jul 11, 2016",27358.23,27647.48,27358.23,2460000,27626.69
"Jul 08, 2016",27292.2,27294.82,27034.14,1429000,27126.9
"Jul 07, 2016",27209.97,27288.22,27146.95,909000,27201.49
"Jul 05, 2016",27340.72,27348.66,27127.3,1072000,27166.87
"Jul 04, 2016",27314.44,27385.66,27251.06,863000,27278.76
"Jul 01, 2016",27064.33,27243.36,27061.4,1027000,27144.91
"Jun 30, 2016",26926.17,27069.23,26872.59,893000,26999.72
"Jun 29, 2016",26627.15,26776.17,26606.31,789000,26740.39
"Jun 28, 2016",26410.66,26583.33,26378.46,842000,26524.55
"Jun 27, 2016",26347.81,26493.51,26262.72,1894000,26402.96
"Jun 24, 2016",26367.48,26435.85,25911.33,2520000,26397.71
"Jun 23, 2016",26753.2,27060.98,26736.52,962000,27002.22
"Jun 22, 2016",26791.68,26887.29,26617.45,788000,26765.65
"Jun 21, 2016",26907.42,26925.64,26754.6,720000,26812.78
"Jun 20, 2016",26497.11,26885.49,26447.88,982000,26866.92
"Jun 17, 2016",26653.85,26730.55,26538.51,959000,26625.91
"Jun 16, 2016",26686.03,26686.03,26314.91,1300000,26525.46
"Jun 15, 2016",26500.79,26752.59,26446.59,1275000,26726.34
"Jun 14, 2016",26482.5,26485.45,26264.81,802000,26395.71
"Jun 13, 2016",26468.27,26468.27,26262.27,937000,26396.77
"Jun 10, 2016",26742.26,26972.06,26620.5,1039000,26635.75
"Jun 09, 2016",26994.48,26994.91,26692.35,1037000,26763.46
"Jun 08, 2016",27085.24,27105.41,26973.71,1290000,27020.66
"Jun 07, 2016",26833.54,27082.63,26829.53,1526000,27009.67
"Jun 06, 2016",26897.84,26901.42,26729.54,903000,26777.45
"Jun 03, 2016",26919.23,27008.14,26792.07,1340000,26843.03
"Jun 02, 2016",26694.28,26885.16,26641.02,1137000,26843.14
"Jun 01, 2016",26684.46,26857.25,26671.86,1385000,26713.93
"May 31, 2016",26817.75,26837.2,26561.58,2732000,26667.96
"May 30, 2016",26694.75,26794.96,26623.33,1533000,26725.6
"May 27, 2016",26415.93,26677.43,26405.28,2142000,26653.6
"May 26, 2016",26008.25,26398.94,25941.51,1434000,26366.68
"May 25, 2016",25432.1,25897.87,25430.59,977000,25881.17
"May 24, 2016",25256.97,25340.47,25181.47,1099000,25305.47
"May 23, 2016",25447.72,25519.26,25207.78,1174000,25230.36
"May 20, 2016",25428.42,25506.06,25251.9,1399000,25301.9
"May 19, 2016",25713.84,25714.56,25351.99,1478000,25399.72
"May 18, 2016",25671.48,25747,25503.4,1009000,25704.61
"May 17, 2016",25756.14,25927.31,25733.76,1177000,25773.61
"May 16, 2016",25528.8,25688.46,25351.62,1330000,25653.23
"May 13, 2016",25739.94,25743.69,25400.27,1286000,25489.57
"May 12, 2016",25684.6,25827.03,25620.27,1007000,25790.22
"May 11, 2016",25548.97,25762.49,25409.24,959000,25597.02
"May 10, 2016",25682.98,25809.93,25614.24,1076000,25772.53
"May 09, 2016",25321.83,25709.68,25302.86,1213000,25688.86
"May 06, 2016",25223.67,25260.48,25057.93,1163000,25228.5
"May 05, 2016",25187.66,25394.1,25162.94,1174000,25262.21
"May 04, 2016",25210.87,25245.7,25061.04,1632000,25101.73
"May 03, 2016",25500.14,25705.96,25192.94,1128000,25229.7
"May 02, 2016",25565.44,25565.44,25341.14,795000,25436.97
"Apr 29, 2016",25612.91,25755.43,25424.03,1515000,25606.62
"Apr 28, 2016",26078.28,26100.54,25561.17,1509000,25603.1
"Apr 27, 2016",25956.42,26092.93,25885.24,1152000,26064.12
"Apr 26, 2016",25604.92,26055,25549.05,1155000,26007.3
"Apr 25, 2016",25891.03,25891.03,25585.93,849000,25678.93
"Apr 22, 2016",25892.49,25922.02,25771.88,1378000,25838.14
"Apr 21, 2016",25979.68,26080.07,25783.12,1867000,25880.38
"Apr 20, 2016",25942.34,25956.34,25716.81,1164000,25844.18
"Apr 18, 2016",25833.16,25870.03,25634.12,881000,25816.36
"Apr 13, 2016",25358.42,25671.5,25358.42,1500000,25626.75
"Apr 12, 2016",25056.47,25180.02,24996.44,1190000,25145.59
"Apr 11, 2016",24789.4,25049.92,24523.2,2672000,25022.16
"Apr 08, 2016",24665.8,24736.03,24608.51,1000000,24673.84
"Apr 07, 2016",24998.79,25013.13,24647.48,1978000,24685.42
"Apr 06, 2016",24978.86,25000.65,24834.16,1059000,24900.63
"Apr 05, 2016",25372.44,25372.44,24837.51,1531000,24883.59
"Apr 04, 2016",25333.98,25424.15,25223.49,804000,25399.65
"Apr 01, 2016",25301.7,25354.94,25119.35,1184000,25269.64
"Mar 31, 2016",25364.75,25479.62,25223.22,1192000,25341.86
"Mar 30, 2016",25062.06,25358.84,25055.42,1105000,25338.58
"Mar 29, 2016",24957.24,25079.35,24835.56,1129000,24900.46
"Mar 28, 2016",25417.11,25432.94,24895.49,1036000,24966.4
"Mar 23, 2016",25322.1,25367.81,25156.82,978000,25337.56
"Mar 22, 2016",25331.01,25381.33,25083.7,1243000,25330.49
"Mar 21, 2016",25007.56,25327.45,24988.27,1280000,25285.37
"Mar 18, 2016",24729.41,24986.94,24681.64,1455000,24952.74
"Mar 17, 2016",24852.18,24948.3,24576.52,1514000,24677.37
"Mar 16, 2016",24537.61,24706.85,24354.55,1127000,24682.48
"Mar 15, 2016",24832.04,24840.77,24517.28,1253000,24551.17
"Mar 14, 2016",24801.7,24960.51,24734.04,3103000,24804.28
"Mar 11, 2016",24620.39,24817.8,24552.26,1533000,24717.99
"Mar 10, 2016",24815.7,24817.48,24471.39,1481000,24623.34
"Mar 09, 2016",24527.27,24820.76,24451.6,1230000,24793.96
"Mar 08, 2016",24655.19,24793.62,24509.21,2679000,24659.23
"Mar 04, 2016",24704.59,24719.05,24531.8,1797000,24646.48
"Mar 03, 2016",24386.67,24640.51,24383.28,2006000,24606.99
"Mar 02, 2016",24044.96,24280.42,24043.89,2347000,24242.98
"Mar 01, 2016",23153.32,23821.49,23133.18,1617000,23779.35
"Feb 29, 2016",23238.5,23343.22,22494.61,6066000,23002
"Feb 26, 2016",23141.08,23227.91,23021.94,1192000,23154.3
"Feb 25, 2016",23105.16,23142.96,22948.1,1637000,22976
"Feb 24, 2016",23332.94,23338.89,23057.45,1436000,23088.93
"Feb 23, 2016",23850.41,23851.51,23361.94,1723000,23410.18
"Feb 22, 2016",23783.47,23855.04,23674.86,985000,23788.79
"Feb 19, 2016",23640.32,23774.48,23508.36,1197000,23709.15
"Feb 18, 2016",23536.47,23735.35,23448.21,1619000,23649.22
"Feb 17, 2016",23237.23,23434.91,22920.84,1706000,23381.87
"Feb 16, 2016",23688.61,23692.08,23164.54,2289000,23191.97
"Feb 15, 2016",23223.43,23622.64,23197.67,2101000,23554.12
"Feb 12, 2016",23060.39,23161.15,22600.39,2594000,22986.12
"Feb 11, 2016",23758.46,23758.46,22909.12,2389000,22951.83
"Feb 10, 2016",23938.32,23938.32,23636.72,1997000,23758.9
"Feb 09, 2016",24076.85,24111.19,23919.47,1186000,24020.98
"Feb 08, 2016",24637.41,24698.95,24196.84,1209000,24287.42
